RandomRatio	AUPR	BP_Resolution	Total_GoldStandard_Bins	Precision_at_5%_Recall	Precision_at_10%_Recall	RandomAUPR	log2FC_AUPR_AUPR_Random	TF
0.0	0.511131135643346	200.0	1986.0	0.9902977483800748	0.9567625763286148	0.0017472304725440239	7.842778515022636	USF1
0.0	0.5458068592392952	200.0	1095.0	1.000574456273915	0.9654908916790793	0.0009633521487591673	9.152696624820091	USF2
0.0	0.0323659724865559	200.0	344.0	0.0608813541173913	0.0888809881426686	0.00030264213623119044	7.079523090843366	YBX1
0.0	0.585487131575027	200.0	5619.5	0.9911831816503843	0.9637900637228967	0.004943888036485973	6.608068432322816	YY1
0.0	0.0341871139693131	200.0	1063.0	0.0663422822521602	0.0657753874805645	0.0009351993919004518	5.101870877063906	ZBTB33
0.0	0.4165763361072691	200.0	3275.5	0.9517177141142021	0.877660303575498	0.0028816985965850707	7.160389263769169	ZBTB40
0.0	0.2143004243338584	200.0	1522.0	0.6383204136587831	0.4933109478863828	0.0013390154980926507	6.9244675446037345	ZEB1
0.0	0.4699819895567936	200.0	3250.5	0.9256454784359894	0.8541287605920099	0.002859704255289199	7.665629673967225	ZFX
0.0	0.2911448544691635	200.0	1445.0	0.6734824318527529	0.6523043615310579	0.0012712729269013668	7.83931951864154	ZKSCAN1
0.0	0.5140506625572279	200.0	7242.0	0.9433872223783524	0.9149982231659354	0.006371320786588027	6.462402613265599	ZNF143
0.0	0.04645495288152	200.0	430.0	0.0966054671562627	0.1041162227602905	0.00037830267028898806	6.940147650370647	ZNF207
0.0	0.3092043319431716	200.0	3068.5	0.7410726605108531	0.600019556218089	0.0026995854506552553	6.89909804588225	ZNF24
0.0	0.4699103069018097	200.0	4773.0	0.9241649501110917	0.8827547984546182	0.004199159640207767	6.880718915880001	ZNF384
0.0	0.1468092596798522	200.0	1862.0	0.2986300233173574	0.2602150537634408	0.0016381385397165017	5.960149152738245	ZNF592
